Sr.no.,Village,Survey No.,Area in NA Order,Dated,NA Order No.,Lease Deed Doc. No.,Lease Area,Lease Start,Lease End,Status
71,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
72,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
73,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
74,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
75,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
76,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
77,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
78,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
79,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
80,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
81,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
82,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
83,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
84,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
85,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
86,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
87,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
88,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
89,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
90,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
91,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
92,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
93,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
94,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
95,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
96,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
97,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
98,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
99,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
100,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
101,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
102,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
103,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
104,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
105,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
106,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
107,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
108,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
109,Rampura Mota,S.No.-255,,,GJ-255-838,Deed-838,,,,SUCCESS
110,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
111,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
112,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
113,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
114,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
115,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
116,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
117,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
118,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
119,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
120,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
121,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
122,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
123,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
124,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
125,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
126,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
127,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
128,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
129,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
130,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
131,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
132,Rampura Mota,S.No.-256,,,GJ-256-854,Deed-854,,,,SUCCESS
